filename,true_positives,false_positives,false_negatives,total_completed,total_initial,mean_iou,precision,recall,f_score
00360001_2024-08-20_1_6d8c7a2f45_processed_00261.txt,5,7,8,12,15,0.8010745486686215,0.4166666666666667,0.38461538461538464,0.4
00360001_2024-08-20_1_6d8c7a2f45_processed_00360.txt,6,9,2,15,9,0.8683319798232759,0.4,0.75,0.5217391304347827
00360001_2024-08-20_1_6d8c7a2f45_processed_00475.txt,3,15,4,18,7,0.9957476162557882,0.16666666666666666,0.42857142857142855,0.24
00370001_2024-09-21_2_3ce31cb36c_processed_00002.txt,4,3,4,7,8,0.9999450566529418,0.5714285714285714,0.5,0.5333333333333333
00370001_2024-09-21_2_3ce31cb36c_processed_00005.txt,6,6,3,12,9,0.9999414298095337,0.5,0.6666666666666666,0.5714285714285715
00370001_2024-09-21_2_3ce31cb36c_processed_00021.txt,6,3,3,9,9,0.999955518556241,0.6666666666666666,0.6666666666666666,0.6666666666666666
00370001_2024-09-21_2_3ce31cb36c_processed_00032.txt,12,0,3,12,15,0.9998657807232517,1,0.8,0.888888888888889
00370001_2024-09-21_2_3ce31cb36c_processed_00036.txt,9,1,0,10,9,0.9998990947010091,0.9,1,0.9473684210526316
00370002_2024-09-29_2_ac95f19a67_processed_00083.txt,2,1,4,3,6,0.9999823345611392,0.6666666666666666,0.3333333333333333,0.4444444444444444
00370002_2024-09-29_2_ac95f19a67_processed_00114.txt,1,4,0,5,1,0.9998936064025691,0.2,1,0.33333333333333337
00370002_2024-09-29_2_ac95f19a67_processed_00135.txt,1,1,2,2,3,0.9999716741170318,0.5,0.3333333333333333,0.4
00370002_2024-09-29_2_ac95f19a67_processed_00145.txt,1,1,2,2,3,0.9999799352360828,0.5,0.3333333333333333,0.4
00370002_2024-09-29_2_ac95f19a67_processed_00163.txt,2,1,1,3,4,0.9092129013047869,0.6666666666666666,0.6666666666666666,0.6666666666666666
00400001_2023-08-09_1-3_31fe9e1c57_processed_00090.txt,5,1,0,6,5,0.9998855791271349,0.8333333333333334,1,0.9090909090909091
00400001_2023-08-09_1-3_31fe9e1c57_processed_00196.txt,17,9,2,26,21,0.897838605253757,0.6538461538461539,0.8947368421052632,0.7555555555555555
00400001_2023-08-09_1-3_31fe9e1c57_processed_00714.txt,1,0,1,1,2,0.9999891382783762,1,0.5,0.6666666666666666
00400001_2023-08-09_1-3_31fe9e1c57_processed_00765.txt,1,5,3,6,4,0.9999868434358751,0.16666666666666666,0.25,0.2
00400001_2024-11-26_3_069db0a2ac_processed_00132.txt,3,9,2,12,5,0.9896052917321365,0.25,0.6,0.35294117647058826
00400001_2024-11-26_3_069db0a2ac_processed_00248.txt,7,4,2,11,9,0.9998930104159498,0.6363636363636364,0.7777777777777778,0.7000000000000001
00400001_2024-11-26_3_069db0a2ac_processed_00421.txt,8,2,0,10,8,0.9998870937999935,0.8,1,0.888888888888889
00400001_2024-11-26_3_069db0a2ac_processed_00500.txt,11,4,0,15,12,0.9237215500212682,0.7333333333333333,1,0.846153846153846
00400001_2024-11-26_3_069db0a2ac_processed_00968.txt,5,8,3,13,12,0.6634834457643574,0.38461538461538464,0.625,0.4761904761904762
00400002_2024-02-11_1_7a3b8bcea3_processed_00066.txt,4,2,2,6,6,0.9999263162455713,0.6666666666666666,0.6666666666666666,0.6666666666666666
00400002_2024-02-11_1_7a3b8bcea3_processed_00294.txt,4,4,4,8,8,0.9999226134842938,0.5,0.5,0.5
00400002_2024-02-11_1_7a3b8bcea3_processed_00308.txt,7,3,4,10,12,0.9115849431631965,0.7,0.6363636363636364,0.6666666666666666
