item_id,language,form,item_kind,category,item_definition,english_gloss,uni_lemma,is_animate,is_small,is_big,is_bodypart,is_place,lexical_category,complexity_category,sense,alternative_forms,multiword,AoA
item_232,English (American),WS,word,household,knife,knife,knife,0,1,0,0,0,nouns,,,,no,26
item_233,English (American),WS,word,household,lamp,lamp,lamp,0,0,1,0,0,nouns,,,,no,29
item_234,English (American),WS,word,household,light,light,light,0,0,0,0,0,nouns,,,,no,22
item_235,English (American),WS,word,household,medicine,medicine,medicine,0,1,0,0,0,nouns,,,,no,26
item_236,English (American),WS,word,household,money,money,money,0,1,0,0,0,nouns,,,,no,25
item_237,English (American),WS,word,household,mop,mop,mop,0,1,0,0,0,nouns,,,,no,30
item_238,English (American),WS,word,household,nail,nail,nail,0,1,0,0,0,nouns,,,,no,29
item_239,English (American),WS,word,household,napkin,napkin,napkin,0,1,0,0,0,nouns,,,,no,26
item_24,English (American),WS,word,animals,cow,cow,cow,1,0,0,0,0,nouns,,,,no,21
item_240,English (American),WS,word,household,paper,paper,paper,0,1,0,0,0,nouns,,,,no,24
item_241,English (American),WS,word,household,penny,penny,penny,0,1,0,0,0,nouns,,,,no,28
item_242,English (American),WS,word,household,picture,picture,picture,0,0,0,0,0,nouns,,,,no,25
item_243,English (American),WS,word,household,pillow,pillow,pillow,0,1,0,0,0,nouns,,,,no,23
item_244,English (American),WS,word,household,plant,plant,plant,0,1,0,0,0,nouns,,,,no,27
item_245,English (American),WS,word,household,plate,plate,plate,0,1,0,0,0,nouns,,,,no,25
item_246,English (American),WS,word,household,purse,purse,purse,0,1,0,0,0,nouns,,,,no,26
item_247,English (American),WS,word,household,radio,radio,radio,0,1,0,0,0,nouns,,,,no,28
item_248,English (American),WS,word,household,scissors,scissors,scissors,0,1,0,0,0,nouns,,,,no,26
item_249,English (American),WS,word,household,soap,soap,soap,0,1,0,0,0,nouns,,,,no,24
item_25,English (American),WS,word,animals,deer,deer,deer,1,0,0,0,0,nouns,,,,no,27
item_250,English (American),WS,word,household,spoon,spoon,spoon,0,1,0,0,0,nouns,,,,no,21
item_251,English (American),WS,word,household,tape,tape,tape,0,1,0,0,0,nouns,,,,no,27
item_252,English (American),WS,word,household,telephone,telephone,telephone,0,1,0,0,0,nouns,,,,no,22
item_253,English (American),WS,word,household,tissue,tissue,tissue,0,1,0,0,0,nouns,,,kleenex,no,26
item_254,English (American),WS,word,household,toothbrush,toothbrush,toothbrush,0,1,0,0,0,nouns,,,,no,23
item_255,English (American),WS,word,household,towel,towel,towel,0,1,0,0,0,nouns,,,,no,24
item_256,English (American),WS,word,household,trash,trash,trash,0,1,0,0,0,nouns,,,,no,25
item_257,English (American),WS,word,household,tray,tray,tray,0,1,0,0,0,nouns,,,,no,
item_258,English (American),WS,word,household,vacuum,vacuum,vacuum,0,1,0,0,0,nouns,,,,no,25
item_259,English (American),WS,word,household,walker,walker,walker,0,0,0,0,0,nouns,,,,no,
item_26,English (American),WS,word,animals,dog,dog,dog,1,0,0,0,0,nouns,,,,no,
item_260,English (American),WS,word,household,watch,watch,watch,0,1,0,0,0,nouns,,object,,no,26
item_261,English (American),WS,word,furniture_rooms,basement,basement,basement,0,0,1,0,1,nouns,,,,no,
item_262,English (American),WS,word,furniture_rooms,bathroom,bathroom,bathroom,0,0,1,0,1,nouns,,,,no,24
item_263,English (American),WS,word,furniture_rooms,bathtub,bathtub,bathtub,0,0,1,0,0,nouns,,,,no,23
item_264,English (American),WS,word,furniture_rooms,bed,bed,bed,0,0,1,0,0,nouns,,,,no,21
item_265,English (American),WS,word,furniture_rooms,bedroom,bedroom,bedroom,0,0,1,0,1,nouns,,,,no,26
item_266,English (American),WS,word,furniture_rooms,bench,bench,bench,0,0,1,0,0,nouns,,,,no,
item_267,English (American),WS,word,furniture_rooms,chair,chair,chair,0,0,1,0,0,nouns,,,,no,22
item_268,English (American),WS,word,furniture_rooms,closet,closet,closet,0,0,1,0,0,nouns,,,,no,27
item_269,English (American),WS,word,furniture_rooms,couch,couch,couch,0,0,1,0,0,nouns,,,,no,25
item_27,English (American),WS,word,animals,donkey,donkey,donkey,1,0,0,0,0,nouns,,,,no,29
item_270,English (American),WS,word,furniture_rooms,crib,crib,crib,0,0,1,0,0,nouns,,,,no,26
item_271,English (American),WS,word,furniture_rooms,door,door,door,0,0,1,0,0,nouns,,,,no,21
